Nr. | ISIN         | Bezeichnung des Wertpapiers                                       
87  | FR0000121014 | LVMH Moët Hennessy Louis Vuitton (EURO STOXX 50 / STOXX Europe 50)
88  | AU000000MQG1 | Macquarie Group Ltd. (Australien (ASX 200))                       
89  | US57636Q1040 | Mastercard Inc. (Dow Jones)                                       
90  | US5801351017 | McDonald's Corp. (Dow Jones)                                      
91  | KYG5966A1014 | Meituan (Hong Kong (Hang Seng))                                   
92  | DE0007100000 | Mercedes-Benz Group (DAX / EURO STOXX 50)                         
93  | DE000BFB0019 | Metro AG (SDAX)                                                   
94  | US5949181045 | Microsoft (Dow Jones)                                             
95  | JP3496400007 | Mitsubishi UFJ Financial Group (Tokio (Nikkei 225))               
96  | DE0006632003 | MorphiSys (DAX)                                                   
97  | DE0006223407 | MTU Aero Engines (DAX)                                            
98  | DE000A0D9PT0 | MTU Aero Engines (DAX)                                            
99  | DE0008430026 | Münchener Rückversicherungs-Gesellschaft (DAX / EURO STOXX 50)    
100 | AU000000NAB4 | National Australia Bank Ltd. (Australien (ASX 200))               
101 | CH0038863350 | Nestlé (STOXX Europe 50)                                          
102 | US6541061031 | Nike Inc. (Dow Jones)                                             
103 | FI0009000681 | Nokia (EURO STOXX 50)                                             
104 | FI4000297767 | Nordea Bank (EURO STOXX 50)                                       
105 | CH0012005267 | Novartis (STOXX Europe 50)                                        
106 | DK0062498110 | Novo Nordisk (STOXX Europe 50)                                    
107 | US67066G1040 | NVIDIA (Dow Jones)                                                
108 | FR0000120693 | Pernod Ricard (EURO STOXX 50)                                     
109 | DE000PAG9113 | Porsche AG Vz (DAX)                                               
110 | DE000PAH0038 | Porsche Automobil Holding (DAX)                                   
111 | US7427181094 | Procter & Gamble Co. (Dow Jones)                                  
112 | NL0013654783 | Prosus (EURO STOXX 50)                                            
113 | DE0006969603 | Puma SE (MDAX)                                                    
114 | US7594701077 | Reliance, Inc. (USA Mittelgroß (S&P 400))                         
115 | DE0007030009 | Rheinmetall AG (DAX)                                              
116 | AU000000RIO7 | Rio Tinto Ltd. (Australien (ASX 200))                             
117 | CH0012032048 | Roche Holding (STOXX Europe 50)                                   
118 | DE0007037129 | RWE AG (DAX)                                                      
119 | FR0000073272 | Safran (EURO STOXX 50)                                            
120 | FR0000125007 | Saint-Gobain (EURO STOXX 50)                                      
121 | DE0006202005 | Salzgitter AG (SDAX)                                              
122 | FR0000120578 | Sanofi (EURO STOXX 50 / STOXX Europe 50)                          
123 | DE0007164600 | SAP (DAX / EURO STOXX 50 / STOXX Europe 50)                       
124 | DE000SHA0159 | Schaeffler AG (MDAX)                                              
125 | FR0000121972 | Schneider Electric (EURO STOXX 50)                                
126 | DE0007568578 | SFC Energy AG (SDAX)                                              
127 | DE000A2G8X31 | SFC Energy AG (SDAX)                                              
128 | GB00BP6MXD84 | Shell (STOXX Europe 50)                                           
129 | JP3371200001 | Shin-Etsu Chemical Co. Ltd. (Tokio (Nikkei 225))                  
130 | DE0007236101 | Siemens (DAX / EURO STOXX 50 / STOXX Europe 50)                   
131 | DE000ENER6Y0 | Siemens Energy AG (DAX)                                           
132 | DE000SHL1006 | Siemens Healthineers AG (DAX)                                     
133 | JP3436100004 | SoftBank Group Corp. (Tokio (Nikkei 225))                         
134 | JP3435000009 | Sony Group Corp. (Tokio (Nikkei 225))                             
135 | DE0006749705 | Stroeer SE & Co KGaA (MDAX)                                       
136 | US86800U1043 | Super Micro Computer Inc. (USA Mittelgroß (S&P 400))              
137 | DE000SYM9999 | Symrise AG (DAX)                                                  
138 | DE000A1K0235 | Süss MicroTec SE (SDAX)                                           
139 | DE000TEAM111 | TeamViewer SE (MDAX)                                              
140 | KYG875721634 | Tencent Holdings Ltd. (Hong Kong (Hang Seng))                     
141 | US1912161007 | The Coca-Cola Company (Dow Jones)                                 
142 | US4370761029 | The Home Depot Inc. (Dow Jones)                                   
143 | FR0000120271 | TotalEnergies SE (EURO STOXX 50 / STOXX Europe 50)                
144 | JP3633400001 | Toyota Motor Corp. (Tokio (Nikkei 225))                           
145 | DE000A3H2101 | Traton SE (MDAX)                                                  
146 | DE0005089031 | United Internet AG (MDAX)                                         
147 | US91324P1021 | UnitedHealth Group Inc. (Dow Jones)                               
148 | US92532F1003 | Vertex Pharmaceuticals (Dow Jones)                                
149 | US92826C8394 | Visa Inc. (Dow Jones)                                             
150 | DE000A1ML7J1 | Vonovia SE (DAX)                                                  
151 | DE000WCH8881 | Wacker Chemie AG (MDAX)                                           
152 | AU000000WBC1 | Westpac Banking Corp. (Australien (ASX 200))                      
153 | US98419M1009 | Xylem Inc. (USA Mittelgroß (S&P 400))                             
154 | DE000ZAL1111 | Zalando SE (DAX)                                                  
